ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
NOW,1,2026-08-05,beta_hedged,0.5833934583822167,1.0,5,0.005,117.22000122070312,2599099344.0,vol_63d(+0.030) | vol_10d(+0.020) | ret_10d(-0.010)
AMD,2,2026-08-05,beta_hedged,0.5799897719206721,0.9948979591836735,5,0.005,482.04998779296875,14474933429.0,atr_pct(+0.035) | vol_10d(+0.018) | ret_5d(-0.014)
GDDY,3,2026-08-05,beta_hedged,0.5737090976440778,0.9897959183673469,5,0.005,91.7699966430664,182060459.0,vol_63d(+0.031) | vol_10d(+0.015) | atr_pct(+0.011)
STX,4,2026-08-05,beta_hedged,0.5653288286143424,0.9846938775510204,5,0.005,837.6599731445312,4670731627.0,atr_pct(+0.030) | vol_10d(+0.015) | vol_63d(+0.015)
WDAY,5,2026-08-05,beta_hedged,0.5626667290955086,0.9795918367346939,5,0.005,170.63999938964844,683352148.0,vol_63d(+0.029) | vol_10d(+0.011) | vol_63d_rank(+0.009)
PODD,6,2026-08-05,beta_hedged,0.5585488961574855,0.9744897959183674,5,0.005,133.25999450683594,214522153.0,vol_63d(+0.029) | atr_pct(+0.019) | vol_10d(+0.012)
AMAT,7,2026-08-05,beta_hedged,0.5551982177323008,0.9693877551020408,5,0.005,534.239990234375,4367981701.0,atr_pct(+0.021) | vol_10d(+0.020) | ret_5d(-0.019)
LRCX,8,2026-08-05,beta_hedged,0.5542725599994988,0.9642857142857143,5,0.005,307.4200134277344,3581012252.0,atr_pct(+0.029) | ret_5d(-0.020) | vol_10d(+0.013)
ON,9,2026-08-05,beta_hedged,0.5526366425343242,0.9591836734693877,5,0.005,76.91000366210938,893700886.0,atr_pct(+0.021) | vol_63d(+0.019) | vol_10d(+0.010)
CDW,10,2026-08-05,beta_hedged,0.5512517975414404,0.9540816326530612,5,0.005,140.10000610351562,264360837.0,vol_63d(+0.028) | vol_10d(+0.013) | mkt_dispersion(+0.011)
