ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
ANET,29,2026-07-31,beta_hedged,0.5158867464147474,0.8585858585858586,5,0.005,180.35000610351562,1300616773.0,vol_63d(+0.013) | vol_10d(+0.007) | ret_1d(-0.005)
WAT,30,2026-07-31,beta_hedged,0.5156821914007835,0.8535353535353535,5,0.005,377.30999755859375,304637143.0,vol_63d_rank(+0.006) | ret_63d(+0.004) | vol_63d(+0.004)
TGT,31,2026-07-31,beta_hedged,0.5151548678933983,0.8484848484848485,5,0.005,144.49000549316406,504628878.0,vol_63d(-0.006) | close_vs_sma200(+0.006) | vol_63d_rank(+0.004)
ADI,32,2026-07-31,beta_hedged,0.5151512638548281,0.8434343434343434,5,0.005,367.4100036621094,1530357382.0,vol_63d(+0.008) | ret_10d(+0.004) | vol_63d_rank(+0.004)
KLAC,33,2026-07-31,beta_hedged,0.5149580387388873,0.8383838383838383,5,0.005,182.82000732421875,2775878045.0,vol_63d(+0.020) | atr_pct(+0.015) | mkt_breadth(-0.010)
ALB,34,2026-07-31,beta_hedged,0.5143239108785427,0.8333333333333334,5,0.005,117.63999938964844,246413350.0,ret_63d(-0.008) | vol_63d(+0.006) | vol_63d_rank(+0.004)
NOW,35,2026-07-31,beta_hedged,0.5140904500889137,0.8282828282828283,5,0.005,111.2300033569336,2550763631.0,ret_5d(-0.019) | vol_63d(+0.011) | vol_10d(+0.009)
CRWD,36,2026-07-31,beta_hedged,0.5138625114005532,0.8232323232323232,5,0.005,190.86000061035156,1654322291.0,vol_63d(+0.019) | mkt_breadth(-0.005) | ret_63d(-0.003)
ROST,37,2026-07-31,beta_hedged,0.5137881327153345,0.8181818181818182,5,0.005,251.07000732421875,537864155.0,close_vs_sma50(+0.008) | vol_63d(-0.007) | close_vs_sma200(+0.006)
PANW,38,2026-07-31,beta_hedged,0.5134856980904278,0.8131313131313131,5,0.005,331.8299865722656,2263860039.0,vol_63d(+0.018) | ret_63d_rank(-0.009) | vol_63d_rank(+0.007)
CMI,39,2026-07-31,beta_hedged,0.5134199401421121,0.8080808080808081,5,0.005,634.2000122070312,583704459.0,vol_63d(+0.008) | vol_21d(-0.005) | ret_10d(+0.003)
EL,40,2026-07-31,beta_hedged,0.5125700050902808,0.803030303030303,5,0.005,83.9000015258789,183537515.0,vol_63d_rank(+0.005) | vol_63d(+0.005) | close_vs_sma200(-0.003)
GLW,41,2026-07-31,beta_hedged,0.5125435134196622,0.797979797979798,4,0.0,138.25,2208532865.0,vol_63d(+0.022) | atr_pct(+0.014) | mkt_breadth(-0.010)
ZBRA,42,2026-07-31,beta_hedged,0.5123158112889574,0.7929292929292929,4,0.0,293.82000732421875,193911759.0,vol_63d(+0.012) | ret_5d(-0.007) | close_vs_sma50(+0.006)
MCHP,43,2026-07-31,beta_hedged,0.5116639399894282,0.7878787878787878,4,0.0,74.29000091552734,876611812.0,vol_63d(+0.018) | vol_63d_rank(+0.005) | mkt_dispersion(+0.005)
FCX,44,2026-07-31,beta_hedged,0.5112813040451504,0.7828282828282829,4,0.0,62.630001068115234,936503842.0,vol_63d(+0.015) | vol_63d_rank(+0.006) | vol_21d(-0.005)
TXN,45,2026-07-31,beta_hedged,0.5109754637515714,0.7777777777777778,4,0.0,275.739990234375,2296805658.0,vol_63d(+0.010) | mkt_dispersion(+0.005) | vol_21d(-0.004)
CARR,46,2026-07-31,beta_hedged,0.5109101701170635,0.7727272727272727,4,0.0,61.810001373291016,466890387.0,vol_63d(+0.007) | vol_21d(-0.006) | mkt_dispersion(+0.003)
CDW,47,2026-07-31,beta_hedged,0.510818599463727,0.7676767676767676,4,0.0,147.80999755859375,250686510.0,vol_63d(+0.014) | ret_5d(-0.006) | vol_21d(-0.005)
CSCO,48,2026-07-31,beta_hedged,0.5107209408896854,0.7626262626262627,4,0.0,115.98999786376953,2383133063.0,vol_63d(+0.007) | ret_63d(+0.005) | vol_21d(-0.004)
GNRC,49,2026-07-31,beta_hedged,0.5105612204517253,0.7575757575757576,4,0.0,197.11000061035156,239409057.0,vol_63d(+0.015) | vol_21d(-0.006) | ret_21d(-0.004)
STLD,50,2026-07-31,beta_hedged,0.5103986273844944,0.7525252525252525,4,0.0,251.25999450683594,283121603.0,close_vs_sma200(+0.006) | vol_63d_rank(+0.006) | vol_63d(-0.005)
GPC,51,2026-07-31,beta_hedged,0.5100691125233827,0.7474747474747475,4,0.0,124.37000274658203,265647288.0,vol_63d_rank(+0.006) | vol_21d(-0.005) | close_vs_sma50(+0.005)
RVTY,52,2026-07-31,beta_hedged,0.5096672202136375,0.7424242424242424,4,0.0,112.5199966430664,146477490.0,vol_63d_rank(+0.007) | vol_63d(-0.004) | ret_63d_rank(-0.004)
FSLR,53,2026-07-31,beta_hedged,0.5092832533906299,0.7373737373737373,4,0.0,211.02999877929688,389292136.0,vol_63d(+0.013) | vol_63d_rank(+0.005) | mkt_dispersion(+0.005)
POOL,54,2026-07-31,beta_hedged,0.5092641334800836,0.7323232323232324,4,0.0,185.7100067138672,186485936.0,vol_63d(+0.008) | vol_21d(-0.008) | ret_10d(+0.003)
DHI,55,2026-07-31,beta_hedged,0.5086059068680752,0.7272727272727273,4,0.0,143.05999755859375,396718756.0,vol_63d(-0.006) | vol_63d_rank(+0.004) | vol_21d(+0.003)
ROK,56,2026-07-31,beta_hedged,0.5085789017961685,0.7222222222222222,4,0.0,480.0799865722656,329596974.0,vol_63d(-0.006) | close_vs_sma200(+0.006) | vol_63d_rank(+0.004)
ALGN,57,2026-07-31,beta_hedged,0.5076720894552252,0.7171717171717171,4,0.0,169.16000366210938,177051412.0,vol_63d(+0.009) | vol_21d(-0.007) | bb_position(+0.003)
VMC,58,2026-07-31,beta_hedged,0.5069250786763756,0.7121212121212122,4,0.0,268.57000732421875,291502650.0,vol_63d(-0.007) | ret_21d_rank(+0.003) | vol_21d(+0.003)
MAS,59,2026-07-31,beta_hedged,0.5062740866797392,0.7070707070707071,4,0.0,71.4800033569336,209560200.0,vol_21d(-0.007) | vol_63d(+0.005) | vol_10d(+0.005)
WSM,60,2026-07-31,beta_hedged,0.5061429861413809,0.702020202020202,4,0.0,228.66000366210938,198782792.0,vol_63d(-0.007) | vol_63d_rank(+0.005) | ret_63d_rank(-0.003)
DXCM,61,2026-07-31,beta_hedged,0.5056002569019,0.696969696969697,4,0.0,83.44999694824219,325974756.0,vol_63d(+0.010) | ret_5d(-0.009) | ret_21d_rank(-0.006)
ON,62,2026-07-31,beta_hedged,0.5051457388943575,0.6919191919191919,4,0.0,81.61000061035156,877834534.0,vol_63d(+0.009) | atr_pct(+0.008) | mkt_breadth(-0.008)
CF,63,2026-07-31,beta_hedged,0.504265068834118,0.6868686868686869,4,0.0,125.19000244140625,277710427.0,vol_21d(-0.006) | close_vs_sma200(+0.006) | close_vs_sma50(+0.005)
COR,64,2026-07-31,beta_hedged,0.5040640142660554,0.6818181818181818,4,0.0,311.3399963378906,414292554.0,vol_63d_rank(+0.005) | close_vs_sma200(-0.004) | vol_63d(+0.004)
EMR,65,2026-07-31,beta_hedged,0.503902811328548,0.6767676767676768,4,0.0,149.82000732421875,356725520.0,vol_63d(-0.006) | vol_63d_rank(+0.006) | vol_21d(+0.003)
WST,66,2026-07-31,beta_hedged,0.5037687232237074,0.6717171717171717,4,0.0,340.9599914550781,304299402.0,vol_63d(-0.007) | vol_63d_rank(+0.006) | close_vs_sma200(+0.004)
AVGO,67,2026-07-31,beta_hedged,0.5035169786643456,0.6666666666666666,4,0.0,389.2799987792969,7981965684.0,vol_63d(+0.016) | vol_63d_rank(+0.006) | vol_21d(-0.006)
ISRG,68,2026-07-31,beta_hedged,0.5033594981515186,0.6616161616161617,4,0.0,353.3299865722656,1511719915.0,vol_63d(+0.005) | mkt_dispersion(+0.004) | vol_21d_rank(-0.003)
PWR,69,2026-07-31,beta_hedged,0.5032555824892094,0.6565656565656566,4,0.0,667.3599853515625,712597769.0,vol_63d(+0.011) | vol_10d(+0.008) | mkt_breadth(-0.007)
NVDA,70,2026-07-31,beta_hedged,0.5031474127940457,0.6515151515151515,4,0.0,200.75,26018259661.0,vol_21d(-0.006) | vol_63d(+0.005) | vol_63d_rank(+0.003)
EOG,71,2026-07-31,beta_hedged,0.5030749307710675,0.6464646464646465,4,0.0,148.69000244140625,404254588.0,vol_63d(-0.008) | close_vs_sma200(+0.006) | ret_21d_rank(-0.002)
DECK,72,2026-07-31,beta_hedged,0.502492958144431,0.6414141414141414,4,0.0,96.87999725341797,236651164.0,vol_21d(-0.008) | vol_63d(+0.005) | vol_63d_rank(+0.003)
TT,73,2026-07-31,beta_hedged,0.5024521153389747,0.6363636363636364,4,0.0,454.95001220703125,570571725.0,vol_63d(-0.007) | vol_63d_rank(+0.005) | vol_21d(+0.002)
LULU,74,2026-07-31,beta_hedged,0.5021859644580191,0.6313131313131313,4,0.0,118.87000274658203,295329276.0,vol_63d_rank(+0.006) | vol_63d(-0.005) | vol_21d(+0.002)
QCOM,75,2026-07-31,beta_hedged,0.5018653911601291,0.6262626262626263,4,0.0,147.61000061035156,2352838311.0,vol_63d(+0.010) | mkt_breadth(-0.004) | mkt_dispersion(+0.004)
HAL,76,2026-07-31,beta_hedged,0.5015921453809774,0.6212121212121212,4,0.0,32.25,402672366.0,vol_63d(-0.008) | vol_63d_rank(+0.004) | sharpe_mom_63(+0.003)
JCI,77,2026-07-31,beta_hedged,0.501577192176852,0.6161616161616161,4,0.0,146.66000366210938,509074712.0,vol_63d(-0.006) | vol_63d_rank(+0.005) | vol_21d(+0.002)
EFX,78,2026-07-31,beta_hedged,0.5015200618919075,0.6111111111111112,4,0.0,172.6199951171875,330682170.0,vol_63d(+0.007) | vol_21d(-0.007) | vol_63d_rank(+0.003)
INCY,79,2026-07-31,beta_hedged,0.5011975600194066,0.6060606060606061,4,0.0,119.5199966430664,232457550.0,vol_63d(-0.006) | vol_21d(-0.006) | close_vs_sma200(+0.005)
BDX,80,2026-07-31,beta_hedged,0.5007807212646164,0.601010101010101,4,0.0,165.6199951171875,269809702.0,vol_63d(-0.008) | close_vs_sma50(+0.004) | close_vs_sma200(-0.001)
EBAY,81,2026-07-31,beta_hedged,0.5007486302654419,0.5959595959595959,3,0.0,114.01000213623047,372680350.0,vol_63d(-0.009) | close_vs_sma200(+0.005) | vol_63d_rank(-0.004)
MNST,82,2026-07-31,beta_hedged,0.5005589045362018,0.5909090909090909,3,0.0,96.37999725341797,552303354.0,vol_63d(-0.007) | close_vs_sma200(+0.005) | ret_63d_rank(-0.003)
CLX,83,2026-07-31,beta_hedged,0.5002985596328419,0.5858585858585859,3,0.0,95.52999877929688,221681605.0,vol_63d_rank(+0.006) | vol_63d(-0.005) | close_vs_sma200(-0.004)
